frame,landmark_index,x,y,z
0,0,0.5340919494628906,0.30256909132003784,-1.2178359031677246
0,1,0.5552234649658203,0.2708180546760559,-1.156786561012268
0,2,0.5717938542366028,0.27361613512039185,-1.1577885150909424
0,3,0.5860509872436523,0.2766416072845459,-1.1577427387237549
0,4,0.5145918726921082,0.26561999320983887,-1.1615732908248901
0,5,0.49868372082710266,0.26494163274765015,-1.1626744270324707
0,6,0.48370638489723206,0.26495468616485596,-1.1636015176773071
0,7,0.6069996356964111,0.29346877336502075,-0.7891421318054199
0,8,0.4590380787849426,0.2786604166030884,-0.8098034262657166
0,9,0.5567847490310669,0.341102659702301,-1.0716418027877808
0,10,0.5020884871482849,0.3370564579963684,-1.0839451551437378
0,11,0.696270227432251,0.5289353132247925,-0.5850222706794739
0,12,0.3523458242416382,0.5214328765869141,-0.5700739026069641
0,13,0.7130447626113892,0.8049410581588745,-0.6087758541107178
0,14,0.2912147045135498,0.7839285731315613,-0.6545079946517944
0,15,0.6065497994422913,0.9843491911888123,-0.972951352596283
0,16,0.4070383310317993,0.9655376076698303,-1.0056719779968262
0,23,0.6277968883514404,0.9559383988380432,0.00032921525416895747
0,24,0.4170287847518921,0.9627766609191895,-0.0008397194324061275
1,0,0.5340014696121216,0.30309683084487915,-1.1782981157302856
1,1,0.5552420020103455,0.2710338234901428,-1.123234510421753
1,2,0.5717936754226685,0.27384835481643677,-1.124204397201538
1,3,0.5860588550567627,0.2767719328403473,-1.1241787672042847
1,4,0.5144457221031189,0.26582977175712585,-1.120816707611084
1,5,0.4985853135585785,0.26520442962646484,-1.1218246221542358
1,6,0.4836951196193695,0.2652847170829773,-1.1226638555526733
1,7,0.606895923614502,0.2935488224029541,-0.7810410857200623
1,8,0.4590528905391693,0.279671311378479,-0.7706918716430664
1,9,0.5568320751190186,0.34147125482559204,-1.0419087409973145
1,10,0.5021011829376221,0.3375660181045532,-1.0443077087402344
1,11,0.6959162950515747,0.5279169082641602,-0.5872818231582642
1,12,0.35216280817985535,0.5207328796386719,-0.5456221699714661
1,13,0.7128888964653015,0.8024405837059021,-0.6475670337677002
1,14,0.2909751534461975,0.782842218875885,-0.6350814700126648
1,15,0.6115719676017761,0.9841786026954651,-0.9997751116752625
1,16,0.40688174962997437,0.9642539024353027,-0.9564012885093689
1,23,0.6280671954154968,0.955938458442688,-0.002140466822311282
1,24,0.4180164933204651,0.9636229276657104,0.0015795663930475712
2,0,0.5339840650558472,0.3033423125743866,-1.1580160856246948
2,1,0.5553066730499268,0.27118128538131714,-1.1031173467636108
2,2,0.5718254446983337,0.2740491032600403,-1.104091763496399
2,3,0.5861081480979919,0.27690553665161133,-1.1040689945220947
2,4,0.5143928527832031,0.2658780515193939,-1.0998830795288086
2,5,0.4985587000846863,0.2652517259120941,-1.100876808166504
2,6,0.48369601368904114,0.26533377170562744,-1.1017117500305176
2,7,0.6068628430366516,0.29363009333610535,-0.7662880420684814
2,8,0.4590706527233124,0.2800598740577698,-0.7495805025100708
2,9,0.5569231510162354,0.341673344373703,-1.0229429006576538
2,10,0.5021436214447021,0.33790916204452515,-1.0241390466690063
