frame,hand_index,landmark_index,x,y,z
0,0,0,0.6188855171203613,0.5963134765625,1.363369639406642e-09
0,0,1,0.6178275346755981,0.5669572949409485,-0.02153591811656952
0,0,2,0.6071133613586426,0.539712131023407,-0.03748585656285286
0,0,3,0.6025382280349731,0.5149603486061096,-0.04939134046435356
0,0,4,0.6075133681297302,0.4928279519081116,-0.06189492344856262
0,0,5,0.5652601718902588,0.557535707950592,-0.04412386938929558
0,0,6,0.5273930430412292,0.5559250116348267,-0.05818766728043556
0,0,7,0.502476692199707,0.5555329918861389,-0.06812622398138046
0,0,8,0.48239755630493164,0.5568652153015137,-0.07493806630373001
0,0,9,0.5593613386154175,0.5759897828102112,-0.03771435469388962
0,0,10,0.5203568339347839,0.5720583200454712,-0.04900095984339714
0,0,11,0.4925856590270996,0.5705521106719971,-0.057684917002916336
0,0,12,0.4708905816078186,0.5715489387512207,-0.06510669738054276
0,0,13,0.5573357939720154,0.5919308066368103,-0.03068796545267105
0,0,14,0.5216057300567627,0.5865077972412109,-0.03846875950694084
0,0,15,0.49569568037986755,0.5840135812759399,-0.04610780254006386
0,0,16,0.4763505160808563,0.5828135013580322,-0.05249085649847984
0,0,17,0.5583763718605042,0.6043890118598938,-0.025149177759885788
0,0,18,0.5286208391189575,0.5998974442481995,-0.030791549012064934
0,0,19,0.5085178017616272,0.5983182787895203,-0.03570844978094101
0,0,20,0.4920998215675354,0.5972069501876831,-0.040645748376846313
0,1,0,0.4092462360858917,0.5088335871696472,1.885232414622351e-09
0,1,1,0.43063414096832275,0.5277969837188721,-0.011662370525300503
0,1,2,0.46487995982170105,0.530176043510437,-0.018238535150885582
0,1,3,0.4914914667606354,0.5284879207611084,-0.02482275292277336
0,1,4,0.5117141604423523,0.5310179591178894,-0.03261307254433632
0,1,5,0.4879639744758606,0.4901828467845917,-0.010718145407736301
0,1,6,0.518628716468811,0.4768528938293457,-0.01925947703421116
0,1,7,0.5389430522918701,0.4675188362598419,-0.0265040285885334
0,1,8,0.5556692481040955,0.4594091475009918,-0.031978316605091095
0,1,9,0.48274192214012146,0.47576162219047546,-0.012125316075980663
0,1,10,0.5153763890266418,0.46126240491867065,-0.019413040950894356
0,1,11,0.5371778011322021,0.45096051692962646,-0.027981020510196686
0,1,12,0.5556546449661255,0.4414016008377075,-0.034878361970186234
0,1,13,0.4732567369937897,0.4651649296283722,-0.014914839528501034
0,1,14,0.5036972761154175,0.45098185539245605,-0.022665783762931824
0,1,15,0.5240136981010437,0.4409256875514984,-0.03129034489393234
0,1,16,0.5399393439292908,0.43258628249168396,-0.03757893666625023
0,1,17,0.4602203071117401,0.457416832447052,-0.01926940307021141
0,1,18,0.483183890581131,0.445803701877594,-0.026585103943943977
0,1,19,0.4984470009803772,0.4370570778846741,-0.03279866278171539
0,1,20,0.5110243558883667,0.42934003472328186,-0.03768470138311386
1,0,0,0.6256375908851624,0.599713146686554,3.3107037111790305e-09
1,0,1,0.6247212290763855,0.566823422908783,-0.018453102558851242
1,0,2,0.608756422996521,0.5355252027511597,-0.03079545684158802
1,0,3,0.6036427021026611,0.5074498057365417,-0.039947137236595154
1,0,4,0.6134390830993652,0.4869491755962372,-0.04954705014824867
1,0,5,0.5653492212295532,0.5573172569274902,-0.035297755151987076
1,0,6,0.5250831842422485,0.5568906664848328,-0.04680238291621208
1,0,7,0.49934473633766174,0.5567904114723206,-0.054539650678634644
1,0,8,0.47841763496398926,0.5581358075141907,-0.05960232764482498
1,0,9,0.5584619641304016,0.5761047005653381,-0.030258867889642715
1,0,10,0.51783686876297,0.5725211501121521,-0.03773580119013786
1,0,11,0.48927390575408936,0.5712429285049438,-0.04340539872646332
